Wall type,A,B,C,D,E,F,G,H,I,J,K
Stone,2.1,2.1,2.1,2.1,2.1,1.1,0.6,0.55,0.55,0.37,0.27
225mm solid brick,2.1,2.1,2.1,2.1,2.1,1.1,0.6,0.55,0.55,0.37,0.27
325mm solid brick,1.64,1.64,1.64,1.64,1.64,1.1,0.6,0.55,0.55,0.37,0.27
300mm cavity,2.1,1.78,1.78,1.78,1.78,1.1,0.6,0.55,0.55,0.37,0.27
300mm filled cavity,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.55,0.55,0.37,0.27
solid mass concrete,2.2,2.2,2.2,2.2,2.2,1.1,0.6,0.55,0.55,0.37,0.27
concrete hollow block,2.4,2.4,2.4,2.4,2.4,1.1,0.6,0.55,0.55,0.37,0.27
timber frame,2.5,1.9,1.9,1.1,1.1,1.1,0.6,0.55,0.55,0.37,0.27
Unknown,2.1,2.1,2.1,2.1,2.1,1.1,0.6,0.55,0.55,0.37,0.27
425 mm Cavity Wall,1.73,1.51,1.51,1.51,1.51,1.1,0.6,0.55,0.55,0.37,0.27
425 mm filled cavity,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.55,0.55,0.37,0.27
